epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
125,18964.6,1.01392,0.80309,0.06178,0.05531,0.7083,0.57434,0.60184,0.39757,1.52684,1.99669,0.02732,0.0979,0.0005908,0.0005908,0.0005908
126,19116.9,1.05903,0.86266,0.0563,0.05305,0.76932,0.53348,0.59516,0.3889,1.51415,2.01476,0.02712,0.10075,0.0005875,0.0005875,0.0005875
127,19263.6,1.08826,0.87011,0.05889,0.05527,0.6881,0.54135,0.56148,0.35167,1.54029,2.08132,0.02722,0.09609,0.0005842,0.0005842,0.0005842
128,19435.3,1.06613,0.86064,0.0617,0.05754,0.71711,0.56866,0.56785,0.35523,1.55311,2.07984,0.02647,0.09258,0.0005809,0.0005809,0.0005809
129,19620.1,1.08204,0.94688,0.06313,0.05275,0.73122,0.53431,0.55746,0.34345,1.5355,2.11743,0.02589,0.0908,0.0005776,0.0005776,0.0005776
130,19812.1,1.02498,0.86177,0.05631,0.0601,0.78619,0.52539,0.52508,0.32536,1.5348,2.18153,0.02654,0.08668,0.0005743,0.0005743,0.0005743
131,19959.7,1.05521,0.8961,0.0581,0.05543,0.78618,0.50664,0.56362,0.36141,1.50908,2.12504,0.02633,0.08704,0.000571,0.000571,0.000571
132,20110.8,1.05348,0.90605,0.06282,0.04918,0.79775,0.52615,0.57816,0.38187,1.50524,1.98747,0.0257,0.09087,0.0005677,0.0005677,0.0005677
133,20260.7,1.06071,0.85388,0.05958,0.05039,0.74202,0.52717,0.59611,0.38666,1.51021,1.90206,0.02576,0.0872,0.0005644,0.0005644,0.0005644
134,20405.3,1.08018,0.91237,0.0641,0.05171,0.70938,0.54904,0.57298,0.37659,1.50121,1.9319,0.02634,0.08533,0.0005611,0.0005611,0.0005611
135,20552.9,1.05872,0.88397,0.06552,0.05386,0.86219,0.50051,0.57269,0.38351,1.49718,1.96574,0.02627,0.0814,0.0005578,0.0005578,0.0005578
136,20701.2,1.06835,0.86716,0.05694,0.05292,0.87917,0.49192,0.58069,0.39121,1.47021,2.0192,0.02556,0.08324,0.0005545,0.0005545,0.0005545
137,20849.3,1.0694,0.87748,0.06012,0.05468,0.70734,0.56132,0.57145,0.39347,1.4733,2.0509,0.02465,0.08532,0.0005512,0.0005512,0.0005512
138,20996.5,1.01169,0.80482,0.05061,0.05046,0.73385,0.54148,0.57728,0.38291,1.52359,1.9996,0.02487,0.11716,0.0005479,0.0005479,0.0005479
139,21144.7,1.06854,0.86482,0.05989,0.05869,0.78068,0.49346,0.58036,0.38714,1.5443,2.03782,0.02501,0.11652,0.0005446,0.0005446,0.0005446
140,21291.2,1.02399,0.89797,0.0598,0.04893,0.75791,0.4905,0.58153,0.38535,1.50725,2.12486,0.02504,0.09982,0.0005413,0.0005413,0.0005413
