epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
114,400.615,1.07447,0.91354,0.06184,0.05413,0.77828,0.48118,0.54841,0.35932,1.52063,2.10598,0.0232,0.07881,0.0006271,0.0006271,0.0006271
115,403.811,1.10515,0.85563,0.05777,0.0634,0.74447,0.50106,0.55498,0.37169,1.52756,2.14998,0.02375,0.0816,0.0006238,0.0006238,0.0006238
116,407.087,1.06124,0.82313,0.05247,0.05501,0.74274,0.4916,0.52214,0.34804,1.55195,2.25549,0.02399,0.07679,0.0006205,0.0006205,0.0006205
117,410.284,1.08006,0.89251,0.06064,0.0536,0.70111,0.49592,0.50278,0.3552,1.52734,2.38585,0.02469,0.07236,0.0006172,0.0006172,0.0006172
118,413.539,1.0636,0.81848,0.05893,0.05386,0.77116,0.47661,0.49226,0.34903,1.54234,2.4241,0.02442,0.07481,0.0006139,0.0006139,0.0006139
119,416.876,1.05933,0.82651,0.05822,0.0554,0.78131,0.43697,0.50023,0.31846,1.5853,2.35119,0.025,0.07973,0.0006106,0.0006106,0.0006106
120,420.28,1.06588,0.87241,0.05351,0.0552,0.87155,0.3987,0.49005,0.31038,1.59981,2.37684,0.02556,0.08543,0.0006073,0.0006073,0.0006073
121,423.553,1.0739,0.88327,0.0538,0.05823,0.65379,0.46992,0.48864,0.31333,1.59558,2.42803,0.02583,0.08965,0.000604,0.000604,0.000604
122,426.78,1.05359,0.83008,0.05535,0.05463,0.62,0.53582,0.50369,0.33053,1.61713,2.46686,0.02511,0.08695,0.0006007,0.0006007,0.0006007
123,430.038,1.02818,0.85355,0.06077,0.05297,0.66314,0.4918,0.53155,0.35015,1.5705,2.4944,0.02492,0.0852,0.0005974,0.0005974,0.0005974
124,433.259,1.04515,0.8509,0.06135,0.04583,0.66381,0.48605,0.5085,0.34055,1.58204,2.52898,0.02481,0.09265,0.0005941,0.0005941,0.0005941
