epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
112,1685.88,0.82432,0.55198,0.02284,0.03972,0.90018,0.66261,0.75231,0.56456,1.22022,1.31524,0.03405,0.09998,0.0006337,0.0006337,0.0006337
113,1700.7,0.8256,0.5257,0.02152,0.04056,0.85971,0.70306,0.76471,0.56559,1.24064,1.41178,0.0348,0.10225,0.0006304,0.0006304,0.0006304
114,1715.54,0.82472,0.48689,0.02126,0.03697,0.88791,0.74604,0.77706,0.58218,1.24852,1.30171,0.03444,0.12579,0.0006271,0.0006271,0.0006271
115,1730.56,0.7948,0.51146,0.02191,0.03993,0.80756,0.73627,0.74424,0.54091,1.25378,1.48289,0.03662,0.09396,0.0006238,0.0006238,0.0006238
116,1745.42,0.80516,0.51712,0.02031,0.03461,0.77102,0.73031,0.74164,0.51762,1.3031,1.54182,0.03912,0.11637,0.0006205,0.0006205,0.0006205
117,1760.28,0.81285,0.50193,0.02018,0.04015,0.7556,0.75818,0.76879,0.54297,1.26161,1.32021,0.03552,0.10793,0.0006172,0.0006172,0.0006172
118,1775.12,0.80419,0.52504,0.02134,0.03708,0.75846,0.7467,0.75606,0.55764,1.23136,1.33509,0.03414,0.11069,0.0006139,0.0006139,0.0006139
119,1790.01,0.78532,0.49828,0.02091,0.03896,0.80574,0.73166,0.77581,0.57037,1.23486,1.3535,0.03529,0.11897,0.0006106,0.0006106,0.0006106
120,1804.87,0.79932,0.53467,0.02108,0.0382,0.84221,0.67369,0.7501,0.5368,1.27237,1.42732,0.03644,0.1161,0.0006073,0.0006073,0.0006073
121,1819.76,0.80782,0.51588,0.02212,0.0386,0.84887,0.65589,0.73789,0.53901,1.26173,1.5189,0.0353,0.10957,0.000604,0.000604,0.000604
122,1834.67,0.81886,0.51785,0.02071,0.04172,0.90808,0.67209,0.76043,0.56109,1.27613,1.36082,0.0331,0.13214,0.0006007,0.0006007,0.0006007
123,1849.49,0.79187,0.50898,0.02118,0.03587,0.77559,0.74282,0.77429,0.55806,1.25804,1.29211,0.03397,0.1264,0.0005974,0.0005974,0.0005974
124,1864.36,0.78641,0.49539,0.02025,0.04029,0.88388,0.63915,0.75933,0.5528,1.27127,1.3194,0.03546,0.114,0.0005941,0.0005941,0.0005941
125,1879.17,0.8082,0.53878,0.02052,0.03928,0.89174,0.69634,0.77998,0.56265,1.24393,1.32104,0.03592,0.10306,0.0005908,0.0005908,0.0005908
126,1893.93,0.80615,0.52698,0.02118,0.03692,0.78426,0.74812,0.76281,0.52777,1.25711,1.34222,0.03456,0.11462,0.0005875,0.0005875,0.0005875
127,1908.75,0.76738,0.50046,0.02148,0.03492,0.87075,0.70354,0.75944,0.54808,1.23522,1.32294,0.03234,0.12651,0.0005842,0.0005842,0.0005842
128,1923.6,0.79372,0.50548,0.0215,0.03956,0.89887,0.69341,0.7624,0.55706,1.25423,1.4732,0.03281,0.13791,0.0005809,0.0005809,0.0005809
129,1938.48,0.76744,0.474,0.02084,0.03672,0.85125,0.70781,0.75546,0.55235,1.31295,1.41808,0.03374,0.12542,0.0005776,0.0005776,0.0005776
130,1953.41,0.81272,0.50993,0.02185,0.04233,0.87417,0.68309,0.76093,0.55721,1.26251,1.39327,0.03355,0.10471,0.0005743,0.0005743,0.0005743
131,1968.29,0.79871,0.5093,0.02046,0.03978,0.88463,0.69988,0.76258,0.58008,1.20166,1.29041,0.03391,0.09321,0.000571,0.000571,0.000571
132,1983.2,0.77414,0.49637,0.02292,0.03806,0.78621,0.75429,0.76643,0.565,1.22689,1.2811,0.03482,0.11217,0.0005677,0.0005677,0.0005677
133,1998.12,0.79165,0.51155,0.02272,0.04041,0.88452,0.63728,0.74297,0.54588,1.25148,1.4269,0.03405,0.0957,0.0005644,0.0005644,0.0005644
134,2012.96,0.77276,0.48704,0.02148,0.036,0.8586,0.66124,0.72879,0.52361,1.28127,1.5325,0.03396,0.10152,0.0005611,0.0005611,0.0005611
135,2027.8,0.74628,0.47237,0.02054,0.03663,0.81837,0.76515,0.75433,0.56031,1.24631,1.38903,0.03333,0.10965,0.0005578,0.0005578,0.0005578
136,2042.55,0.7997,0.5108,0.02185,0.03891,0.84429,0.74231,0.75988,0.56597,1.23067,1.29437,0.0336,0.1177,0.0005545,0.0005545,0.0005545
137,2057.42,0.7721,0.48294,0.02191,0.03772,0.85044,0.70953,0.7689,0.55912,1.22577,1.29015,0.03469,0.12073,0.0005512,0.0005512,0.0005512
138,2072.24,0.77633,0.49287,0.02118,0.03845,0.82178,0.74345,0.76954,0.56654,1.20371,1.31431,0.03461,0.10917,0.0005479,0.0005479,0.0005479
139,2087.12,0.77163,0.50844,0.02069,0.0377,0.89221,0.7087,0.7603,0.55325,1.23176,1.3347,0.03483,0.10085,0.0005446,0.0005446,0.0005446
140,2101.99,0.77445,0.52069,0.02178,0.03463,0.86434,0.6979,0.76395,0.55503,1.21176,1.26616,0.03433,0.08902,0.0005413,0.0005413,0.0005413
141,2116.84,0.76492,0.47904,0.02124,0.0343,0.77753,0.74612,0.75967,0.56297,1.22378,1.39585,0.0341,0.10164,0.000538,0.000538,0.000538
142,2131.68,0.74538,0.4657,0.0206,0.03456,0.85916,0.71917,0.75606,0.5626,1.20397,1.38475,0.03565,0.10321,0.0005347,0.0005347,0.0005347
143,2146.55,0.73967,0.46552,0.02083,0.03438,0.90324,0.66048,0.74888,0.54496,1.25882,1.45384,0.03632,0.1048,0.0005314,0.0005314,0.0005314
144,2161.49,0.75594,0.4685,0.02032,0.0332,0.91471,0.68831,0.76114,0.56246,1.26759,1.3453,0.03488,0.12589,0.0005281,0.0005281,0.0005281
145,2176.38,0.75733,0.46286,0.0217,0.0339,0.90621,0.70574,0.7491,0.54937,1.25226,1.39286,0.0362,0.11112,0.0005248,0.0005248,0.0005248
146,2191.26,0.76992,0.4731,0.02086,0.03372,0.93899,0.67793,0.77093,0.56808,1.2347,1.34092,0.03583,0.10725,0.0005215,0.0005215,0.0005215
147,2206.19,0.73246,0.44906,0.02088,0.0314,0.89262,0.70852,0.78902,0.57565,1.21912,1.40557,0.03548,0.10403,0.0005182,0.0005182,0.0005182
148,2221.06,0.75142,0.46123,0.02222,0.03479,0.85103,0.74606,0.77969,0.58308,1.20139,1.33478,0.03414,0.10272,0.0005149,0.0005149,0.0005149
149,2236.18,0.73661,0.4787,0.01968,0.03285,0.85798,0.77085,0.79913,0.57964,1.21079,1.25393,0.03363,0.11258,0.0005116,0.0005116,0.0005116
150,2251.05,0.72679,0.46697,0.01929,0.03201,0.86052,0.75344,0.78165,0.58073,1.23334,1.25685,0.03426,0.11448,0.0005083,0.0005083,0.0005083
151,2265.96,0.7381,0.46748,0.02153,0.03317,0.91011,0.68728,0.77381,0.5862,1.232,1.20027,0.03338,0.12358,0.000505,0.000505,0.000505
152,2281.04,0.74321,0.4574,0.02128,0.03338,0.84165,0.72546,0.76368,0.58277,1.22292,1.30835,0.0346,0.13054,0.0005017,0.0005017,0.0005017
153,2295.9,0.73847,0.45284,0.02197,0.03283,0.78703,0.7434,0.75409,0.58184,1.18766,1.36508,0.03341,0.127,0.0004984,0.0004984,0.0004984
154,2310.7,0.72346,0.44835,0.02073,0.03303,0.91485,0.65363,0.76459,0.59686,1.15909,1.30972,0.03489,0.11795,0.0004951,0.0004951,0.0004951
155,2325.79,0.74368,0.45754,0.02181,0.03157,0.88935,0.70936,0.77491,0.59374,1.15861,1.29679,0.03405,0.11121,0.0004918,0.0004918,0.0004918
156,2340.58,0.72572,0.43881,0.02229,0.03576,0.83949,0.70697,0.7741,0.59061,1.15721,1.32216,0.0355,0.12226,0.0004885,0.0004885,0.0004885
157,2355.4,0.74139,0.45003,0.02236,0.03019,0.85531,0.71517,0.7747,0.58326,1.20548,1.39719,0.03527,0.12414,0.0004852,0.0004852,0.0004852
158,2370.25,0.7377,0.45374,0.02128,0.03397,0.8875,0.69651,0.77553,0.57818,1.20457,1.34345,0.03494,0.10706,0.0004819,0.0004819,0.0004819
